epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,6468.57,0.92692,0.80572,1.41262,0.8011,0.6891,0.73176,0.4086,1.6909,1.16114,2.61232,0.0010002,0.0010002,0.0010002
103,6531.77,0.91714,0.79681,1.41086,0.80226,0.69074,0.73185,0.40853,1.69057,1.16099,2.61503,0.0009804,0.0009804,0.0009804
104,6594.9,0.91741,0.79142,1.40684,0.80565,0.6906,0.73277,0.40801,1.69105,1.16187,2.61852,0.0009606,0.0009606,0.0009606
105,6658.17,0.91133,0.78583,1.40218,0.81286,0.68615,0.73276,0.4087,1.69173,1.16265,2.62211,0.0009408,0.0009408,0.0009408
106,6721.32,0.9087,0.78254,1.40064,0.8111,0.68461,0.73219,0.40875,1.6929,1.16113,2.62614,0.000921,0.000921,0.000921
107,6784.6,0.90626,0.77718,1.39857,0.81213,0.68534,0.73226,0.40909,1.69366,1.16059,2.62995,0.0009012,0.0009012,0.0009012
108,6848.11,0.90067,0.77736,1.3901,0.81124,0.68485,0.73063,0.40859,1.69432,1.16044,2.63341,0.0008814,0.0008814,0.0008814
109,6911.47,0.89585,0.77667,1.39213,0.80956,0.68488,0.7308,0.40844,1.69524,1.1592,2.63798,0.0008616,0.0008616,0.0008616
110,6974.8,0.89613,0.77274,1.38715,0.80854,0.68524,0.73098,0.4082,1.69601,1.15864,2.64159,0.0008418,0.0008418,0.0008418
111,7038.35,0.89292,0.76667,1.38275,0.80907,0.68618,0.73122,0.40827,1.69648,1.15833,2.64576,0.000822,0.000822,0.000822
112,7101.61,0.89143,0.77404,1.38588,0.81186,0.68603,0.73103,0.40771,1.69706,1.15845,2.64945,0.0008022,0.0008022,0.0008022
113,7165.06,0.87851,0.76065,1.37636,0.80795,0.68576,0.73109,0.40728,1.69685,1.15835,2.65238,0.0007824,0.0007824,0.0007824
114,7228.35,0.87349,0.75807,1.37518,0.80584,0.68495,0.73083,0.40791,1.69764,1.1565,2.65652,0.0007626,0.0007626,0.0007626
115,7291.74,0.87547,0.75314,1.37558,0.8074,0.68396,0.73064,0.40769,1.69915,1.15787,2.66156,0.0007428,0.0007428,0.0007428
116,7355.2,0.87462,0.754,1.36922,0.82031,0.67794,0.7307,0.40809,1.69961,1.1576,2.66599,0.000723,0.000723,0.000723
117,7418.55,0.87086,0.74971,1.37042,0.81945,0.67742,0.73044,0.40851,1.70022,1.15842,2.66965,0.0007032,0.0007032,0.0007032
118,7480.86,0.86984,0.74964,1.36729,0.81668,0.67792,0.73026,0.40851,1.70036,1.15884,2.67365,0.0006834,0.0006834,0.0006834
119,7542.49,0.8615,0.73417,1.35876,0.82325,0.67613,0.7317,0.40845,1.70048,1.15783,2.67643,0.0006636,0.0006636,0.0006636
120,7603.91,0.85595,0.73384,1.35727,0.8202,0.67895,0.73308,0.40912,1.70145,1.15774,2.68118,0.0006438,0.0006438,0.0006438
121,7667.12,0.85348,0.73502,1.35709,0.81678,0.68024,0.73247,0.40825,1.70249,1.15845,2.68467,0.000624,0.000624,0.000624
